"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
111,580964.99,0.9996376,-0.0111061,9.80E-010,-8.10E-010,-6.00E-011,4566742.66,0.011101,0.999632,-1.20E-010,-2.00E-011,1.89E-009,"Εχίνος",41.15,1.15
112,454963.16,0.9995952,0.0060915,-1.09E-009,9.00E-010,-6.30E-010,4510931.52,-0.006098,0.9996184,1.90E-010,-3.30E-010,-1.53E-009,"Ζαγκλιβέριον",40.45,-0.15
113,410824.42,0.9996643,0.0114359,-2.08E-009,8.70E-010,-3.20E-010,4344835.57,-0.0114467,0.9996184,6.30E-010,6.30E-010,-2.13E-009,"Ζαγορά",39.15,-0.45
114,232751.7,0.9999545,0.0324714,-3.43E-009,3.33E-009,-4.10E-010,4182239.13,-0.0324714,0.9999518,1.50E-010,-1.80E-010,-6.94E-009,"Ζάκυνθος",37.45,-2.45
115,587903.13,0.9996119,-0.0096913,2.30E-009,-1.29E-009,-7.90E-010,3901042.23,0.009718,0.9996302,-4.20E-010,-1.20E-010,2.67E-009,"Ηράκλειον",35.15,1.15
116,412758.03,0.9996334,0.0117896,-1.06E-009,1.05E-009,-2.00E-011,4511308.92,-0.0117829,0.9996386,1.40E-010,-1.40E-010,-2.04E-009,"Θέρμη",40.45,-0.45
117,279848.21,0.9997972,0.0276783,-7.40E-010,1.96E-009,2.90E-009,4291896.68,-0.0276454,0.9998328,-2.20E-009,1.51E-009,-3.49E-009,"Θέρμον",38.45,-2.15
118,412758.03,0.9996334,0.0117896,-1.06E-009,1.05E-009,-2.00E-011,4511308.92,-0.0117829,0.9996386,1.40E-010,-1.40E-010,-2.04E-009,"Θεσσαλονίκη",40.45,-0.45
119,453315.1,0.9996398,0.0057801,1.00E-010,4.40E-010,-2.30E-010,4233504.44,-0.0057867,0.9996432,1.50E-010,-3.00E-010,-7.60E-010,"Θήβαι",38.15,-0.15
120,580964.99,0.9996376,-0.0111061,9.80E-010,-8.10E-010,-6.00E-011,4566742.66,0.011101,0.999632,-1.20E-010,-2.00E-011,1.89E-009,"Ίασμος",41.15,1.15
121,633386.86,0.9997053,-0.0147522,7.50E-010,-1.10E-009,2.17E-009,3901598.13,0.0147539,0.9997007,-1.18E-009,8.40E-010,1.67E-009,"Ιεράπετρα",35.15,1.45
122,497146.35,0.9996218,0.0004028,-1.70E-010,2.60E-010,2.70E-010,4455299.91,-0.0003894,0.99961,1.60E-010,1.30E-010,-2.70E-010,"Ιερισσός",40.15,0.15
